frame_id,apriltag_id,track_id,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,corner4_x,corner4_y
2,0,0,671,928,540,929,539,1063,669,1059
2,0,1,451,925,315,921,315,1053,449,1055
3,0,0,670,928,539,930,539,1064,669,1060
3,0,1,451,925,315,922,316,1054,449,1055
4,0,0,670,929,539,930,539,1064,668,1060
4,0,1,451,926,315,923,316,1055,450,1056
5,0,0,670,929,539,931,538,1064,668,1060
5,0,1,451,927,316,924,316,1056,450,1057
6,0,0,669,929,538,931,538,1064,667,1060
6,0,1,451,927,316,925,316,1058,450,1058
7,0,0,669,929,538,931,537,1064,667,1060
7,0,1,451,928,315,926,316,1059,450,1058
8,0,0,669,929,538,930,537,1063,666,1059
8,0,1,451,928,315,927,316,1059,450,1059
9,0,0,669,928,538,930,537,1062,666,1059
9,0,1,450,929,315,928,316,1060,450,1060
10,0,0,669,928,538,930,537,1062,666,1059
10,0,1,451,930,315,929,316,1062,451,1061
11,0,0,670,929,539,930,537,1063,667,1059
11,0,1,451,931,315,930,317,1063,451,1062
12,0,0,669,929,539,930,537,1062,666,1059
12,0,1,451,932,315,931,316,1064,450,1063
13,0,0,668,929,538,930,536,1062,665,1059
13,0,1,450,933,314,931,315,1064,450,1063
14,0,0,668,929,537,931,535,1063,665,1060
14,0,1,449,933,313,932,315,1064,449,1064
15,0,0,668,930,537,932,535,1064,664,1061
15,0,1,449,933,313,932,314,1066,449,1065
16,0,0,667,931,536,933,535,1066,664,1062
16,0,1,448,933,313,933,314,1065,448,1065
17,0,0,665,933,535,934,533,1067,662,1063
17,0,1,448,931,312,930,313,1062,448,1062
18,0,0,664,936,533,937,531,1069,661,1066
18,0,1,447,925,312,924,314,1057,448,1055
19,0,0,662,940,531,942,530,1073,660,1070
19,0,1,447,915,311,916,315,1047,449,1044
20,0,0,660,945,529,948,530,1080,660,1075
20,0,1,446,902,310,904,315,1034,450,1030
21,0,0,658,952,527,955,528,1087,659,1082
21,0,1,445,885,308,888,314,1018,449,1013
22,0,0,657,960,525,963,527,1094,658,1090
22,0,1,443,868,306,871,312,999,447,995
23,0,0,655,967,524,971,525,1102,657,1097
23,0,1,441,849,304,852,309,981,445,977
24,0,0,652,974,522,978,523,1109,655,1104
24,0,1,439,831,301,832,307,964,442,961
25,0,0,650,981,520,985,521,1115,652,1111
25,0,1,437,815,299,815,304,947,439,945
26,0,0,649,988,519,992,519,1122,651,1118
26,0,1,435,799,298,797,300,930,436,931
27,0,0,648,995,518,999,518,1128,649,1124
27,0,1,435,783,297,781,301,915,436,915
28,0,0,647,1001,517,1006,518,1134,648,1131
28,0,1,435,767,297,767,303,902,438,900
29,0,0,646,1008,517,1014,518,1141,648,1136
29,0,1,434,753,297,754,303,889,438,887
30,0,0,645,1014,516,1021,518,1148,647,1141
30,0,1,433,739,295,740,300,875,436,875
31,0,0,644,1020,516,1028,519,1155,646,1146
31,0,1,432,728,294,726,296,862,432,864
32,0,0,643,1025,515,1034,519,1161,646,1151
32,0,1,431,717,292,713,293,851,430,853
33,0,0,643,1030,515,1040,518,1166,645,1155
33,0,1,430,707,292,703,292,841,429,844
34,0,0,642,1034,515,1044,518,1169,644,1159
34,0,1,430,699,291,696,292,835,430,837
35,0,0,642,1036,515,1046,518,1170,643,1159
35,0,1,430,694,291,691,292,830,430,832
36,0,0,643,1036,516,1045,518,1169,643,1157
36,0,1,430,691,290,688,291,828,429,830
37,0,0,643,1033,516,1043,517,1164,642,1153
37,0,1,429,691,289,688,290,827,428,829
38,0,0,643,1029,516,1039,516,1158,640,1147
38,0,1,428,693,289,689,289,829,427,831
39,0,0,643,1024,516,1032,514,1151,638,1141
39,0,1,427,697,288,694,289,833,427,835
40,0,0,642,1018,515,1025,512,1143,636,1134
40,0,1,426,703,286,701,288,839,426,840
41,0,0,641,1010,515,1017,511,1135,635,1127
41,0,1,425,711,285,709,288,847,426,848
42,0,0,641,1001,514,1007,510,1127,634,1118
42,0,1,423,721,284,720,287,857,424,857
43,0,0,639,990,512,996,510,1117,633,1107
43,0,1,421,733,282,732,285,869,422,868
44,0,0,638,977,511,984,509,1104,633,1095
44,0,1,418,746,280,745,283,881,420,880
45,0,0,636,963,510,970,508,1091,632,1081
45,0,1,415,760,277,759,281,893,416,893
46,0,0,635,947,508,954,507,1076,631,1066
46,0,1,412,776,274,774,277,907,412,908
47,0,0,633,930,506,937,506,1059,630,1049
47,0,1,409,792,271,789,274,922,408,923
48,0,0,632,912,504,919,505,1042,630,1032
48,0,1,406,808,269,805,271,936,406,939
49,0,0,631,893,503,900,504,1024,630,1015
49,0,1,406,823,267,820,270,952,405,953
50,0,0,631,874,502,880,503,1005,630,997
50,0,1,405,838,266,835,269,966,405,968
51,0,0,631,855,501,860,502,987,629,980
51,0,1,404,853,266,851,269,981,404,982
52,0,0,631,837,501,840,501,968,628,963
52,0,1,404,868,266,865,268,995,404,996
53,0,0,631,819,500,820,499,950,627,946
53,0,1,404,882,266,880,268,1009,403,1009
54,0,0,631,802,499,802,498,933,627,931
54,0,1,404,896,266,895,269,1023,404,1023
55,0,0,632,786,499,784,497,917,627,915
55,0,1,404,910,267,908,270,1037,405,1035
56,0,0,632,768,498,767,497,901,628,899
56,0,1,405,923,268,921,272,1050,406,1048
57,0,0,632,750,498,751,499,885,630,882
57,0,1,405,935,268,935,273,1063,407,1060
58,0,0,632,734,498,734,499,869,631,867
58,0,1,404,947,268,947,274,1074,407,1071
59,0,0,632,718,498,717,498,855,631,852
59,0,1,403,957,268,957,273,1085,407,1081
60,0,0,633,704,498,703,498,840,631,838
60,0,1,402,968,267,967,272,1095,405,1092
61,0,0,633,689,497,687,498,827,631,825
61,0,1,401,978,266,976,270,1103,403,1102
62,0,0,633,675,497,675,498,815,632,813
62,0,1,400,986,265,984,269,1111,402,1110
