frame_id,apriltag_id,track_id,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,corner4_x,corner4_y
2,0,0,653,449,810,438,809,274,651,290
2,0,1,413,1515,595,1508,590,1339,409,1342
3,0,0,653,449,810,438,809,275,651,290
3,0,1,414,1516,596,1508,591,1339,410,1342
4,0,0,653,450,809,439,809,275,651,290
4,0,1,414,1517,596,1509,591,1340,410,1343
5,0,0,652,450,809,439,809,275,651,290
5,0,1,414,1518,596,1508,591,1340,410,1344
6,0,0,652,450,809,439,808,275,651,290
6,0,1,414,1518,596,1508,591,1339,409,1344
7,0,0,652,450,809,439,808,275,650,290
7,0,1,413,1517,595,1507,590,1339,409,1343
8,0,0,652,449,809,438,808,275,650,290
8,0,1,412,1516,594,1506,590,1338,409,1342
9,0,0,652,449,808,438,807,275,650,290
9,0,1,412,1514,594,1506,589,1338,408,1341
10,0,0,652,449,808,438,808,274,650,290
10,0,1,411,1513,593,1507,589,1339,408,1341
11,0,0,651,450,808,438,807,275,650,290
11,0,1,410,1513,592,1508,589,1341,408,1340
12,0,0,651,450,807,439,807,275,649,291
12,0,1,409,1513,590,1511,589,1343,408,1342
13,0,0,650,451,807,439,806,276,648,291
13,0,1,408,1513,589,1512,589,1345,408,1342
14,0,0,649,451,806,440,805,277,647,292
14,0,1,407,1513,588,1513,589,1346,408,1344
15,0,0,649,452,805,441,804,277,647,293
15,0,1,406,1515,587,1514,589,1349,409,1344
16,0,0,649,452,805,441,804,278,647,293
16,0,1,406,1516,587,1515,590,1351,409,1346
17,0,0,648,453,805,442,804,278,647,294
17,0,1,407,1517,588,1515,591,1350,410,1347
18,0,0,648,453,805,442,804,279,647,294
18,0,1,408,1517,589,1514,592,1349,411,1347
19,0,0,648,453,805,442,804,279,647,294
19,0,1,410,1516,591,1512,592,1349,411,1345
20,0,0,649,453,805,442,804,279,647,294
20,0,1,411,1513,592,1508,592,1345,411,1343
21,0,0,649,453,805,442,805,279,647,294
21,0,1,411,1505,592,1500,592,1337,411,1336
22,0,0,649,454,806,443,805,279,647,294
22,0,1,410,1493,591,1488,590,1326,410,1324
23,0,0,649,454,806,443,805,279,647,295
23,0,1,408,1476,590,1472,589,1309,408,1308
24,0,0,650,454,806,443,805,279,648,295
24,0,1,406,1453,588,1449,586,1286,405,1285
25,0,0,650,454,807,443,806,279,648,295
25,0,1,405,1426,588,1421,582,1257,400,1258
26,0,0,650,454,807,443,806,280,648,295
26,0,1,404,1394,587,1388,578,1223,395,1225
27,0,0,650,455,807,444,806,280,648,296
27,0,1,402,1359,586,1354,573,1184,389,1190
28,0,0,650,455,807,444,806,281,648,296
28,0,1,399,1323,583,1322,566,1146,383,1152
29,0,0,650,455,807,444,806,281,648,296
29,0,1,395,1288,575,1283,560,1106,378,1111
30,0,0,650,456,806,445,805,281,648,297
30,0,1,387,1248,565,1247,553,1068,372,1071
31,0,0,650,456,806,445,805,282,648,297
31,0,1,379,1209,556,1214,547,1031,367,1032
32,0,0,649,457,806,446,805,283,647,298
32,0,1,372,1171,547,1183,540,996,362,995
33,0,0,649,458,806,446,805,283,647,299
33,0,1,366,1143,540,1151,534,963,358,963
34,0,0,649,458,806,447,804,284,647,299
