time,motion,camera
0.00,stop,None
0.10,stop,None
0.14,stop,uav_image_0.14017796516418457.jpg
0.20,stop,None
0.30,stop,None
0.31,stop,uav_image_0.3053743839263916.jpg
0.40,stop,None
0.47,stop,uav_image_0.46896791458129883.jpg
0.50,stop,None
0.60,stop,None
0.64,stop,uav_image_0.6369655132293701.jpg
0.70,stop,None
0.78,stop,uav_image_0.7807133197784424.jpg
0.80,stop,None
0.90,stop,uav_image_0.9017109870910645.jpg
0.90,stop,None
1.00,stop,None
1.04,stop,uav_image_1.0418832302093506.jpg
1.10,stop,None
1.17,stop,uav_image_1.1714682579040527.jpg
1.20,stop,None
1.30,stop,uav_image_1.3007738590240479.jpg
1.30,stop,None
1.40,stop,None
1.47,stop,uav_image_1.466477870941162.jpg
1.50,stop,None
1.60,stop,None
1.65,stop,uav_image_1.645538330078125.jpg
1.70,stop,None
1.78,stop,uav_image_1.7760021686553955.jpg
1.80,stop,None
1.90,stop,None
1.91,stop,uav_image_1.906818151473999.jpg
2.00,up,None
2.04,up,uav_image_2.0356194972991943.jpg
2.10,up,None
2.17,up,uav_image_2.1700921058654785.jpg
2.20,up,None
2.30,up,uav_image_2.300257921218872.jpg
2.30,up,None
2.40,up,None
2.47,up,uav_image_2.46885347366333.jpg
2.50,up,None
2.60,up,None
2.64,up,uav_image_2.637698173522949.jpg
2.70,up,None
2.78,up,uav_image_2.7785422801971436.jpg
2.80,up,None
2.90,up,uav_image_2.9023008346557617.jpg
2.90,up,None
3.00,up,None
3.04,up,uav_image_3.0409398078918457.jpg
3.10,up,None
3.17,up,uav_image_3.172044515609741.jpg
3.20,up,None
3.30,up,None
3.34,up,uav_image_3.343428373336792.jpg
3.40,up,None
3.50,up,None
3.51,up,uav_image_3.506281614303589.jpg
3.60,up,None
3.68,up,uav_image_3.6789915561676025.jpg
3.70,up,None
3.80,up,None
3.83,up,uav_image_3.827864646911621.jpg
3.90,up,None
4.00,up,uav_image_4.003978967666626.jpg
4.00,up,None
4.10,up,None
4.17,up,uav_image_4.167525291442871.jpg
4.20,up,None
4.30,up,None
4.34,up,uav_image_4.340589761734009.jpg
4.40,up,None
4.50,up,uav_image_4.504213809967041.jpg
4.50,up,None
4.60,up,None
4.61,up,None
4.70,up,None
4.74,up,uav_image_4.7404584884643555.jpg
4.80,up,None
4.88,up,uav_image_4.876625061035156.jpg
4.90,up,None
5.00,up,None
5.01,up,uav_image_5.010878562927246.jpg
5.10,up,None
5.18,up,uav_image_5.175543308258057.jpg
5.20,up,None
5.30,up,None
5.34,up,uav_image_5.340323448181152.jpg
5.40,up,None
5.50,up,uav_image_5.504181146621704.jpg
5.50,up,None
5.60,up,None
5.67,up,uav_image_5.670072078704834.jpg
5.70,up,None
5.80,up,None
5.81,up,uav_image_5.814639568328857.jpg
5.90,up,None
5.93,up,uav_image_5.933576345443726.jpg
6.00,up,None
6.07,up,uav_image_6.0732643604278564.jpg
6.10,up,None
6.20,up,None
6.21,up,uav_image_6.205828905105591.jpg
6.30,up,None
6.34,up,uav_image_6.3408362865448.jpg
6.40,up,None
6.50,up,None
6.51,up,uav_image_6.505773067474365.jpg
6.60,up,None
6.67,up,uav_image_6.672807693481445.jpg
6.70,up,None
6.80,up,None
6.81,up,uav_image_6.80911111831665.jpg
6.90,up,None
6.94,up,uav_image_6.9370622634887695.jpg
7.00,up,None
7.08,up,uav_image_7.077218770980835.jpg
7.10,up,None
7.20,up,None
7.21,up,uav_image_7.20555567741394.jpg
7.30,up,None
7.34,up,uav_image_7.339962720870972.jpg
7.40,up,None
7.46,up,uav_image_7.457742214202881.jpg
7.50,up,None
7.57,up,uav_image_7.573715925216675.jpg
7.60,up,None
7.70,up,uav_image_7.701936483383179.jpg
7.70,up,None
7.80,up,None
7.87,up,uav_image_7.870572566986084.jpg
7.90,stop,None
8.00,stop,uav_image_8.003485679626465.jpg
8.00,stop,None
8.10,stop,None
8.17,stop,uav_image_8.16813611984253.jpg
8.20,stop,None
8.30,stop,None
8.34,stop,uav_image_8.336844682693481.jpg
8.40,stop,None
8.50,stop,None
8.51,stop,uav_image_8.50592565536499.jpg
8.60,stop,None
8.67,stop,uav_image_8.665734052658081.jpg
8.70,stop,None
8.80,stop,None
8.82,stop,uav_image_8.815553903579712.jpg
8.90,stop,None
8.93,stop,uav_image_8.934870958328247.jpg
9.00,down,None
9.07,down,uav_image_9.066404342651367.jpg
9.10,down,None
9.20,down,uav_image_9.200339794158936.jpg
9.20,down,None
9.30,down,None
9.34,down,uav_image_9.33875036239624.jpg
9.40,down,None
9.50,down,uav_image_9.500598430633545.jpg
9.50,down,None
9.60,down,None
9.68,down,uav_image_9.67855191230774.jpg
9.70,down,None
9.80,down,None
9.81,down,uav_image_9.809380054473877.jpg
9.90,down,None
9.94,down,uav_image_9.938214302062988.jpg
10.00,down,None
10.07,down,uav_image_10.072637557983398.jpg
10.10,down,None
10.20,down,None
10.22,down,uav_image_10.223682165145874.jpg
10.30,down,None
10.35,down,uav_image_10.347792148590088.jpg
10.40,down,None
10.50,down,uav_image_10.502991437911987.jpg
10.50,down,None
10.60,down,None
10.68,down,uav_image_10.676476240158081.jpg
10.70,down,None
10.80,down,None
10.81,down,uav_image_10.81349802017212.jpg
10.90,down,None
10.94,down,uav_image_10.939834594726562.jpg
11.00,down,None
11.07,down,uav_image_11.07161021232605.jpg
11.10,down,None
11.20,down,uav_image_11.200129508972168.jpg
11.20,down,None
11.30,down,None
11.33,down,uav_image_11.334402561187744.jpg
11.40,down,None
11.50,down,None
11.51,down,uav_image_11.505762815475464.jpg
11.60,down,None
11.64,down,uav_image_11.635154247283936.jpg
11.70,down,None
11.77,down,uav_image_11.769405364990234.jpg
11.80,down,None
11.90,down,uav_image_11.901734590530396.jpg
11.90,down,None
12.00,down,None
12.04,down,uav_image_12.039647102355957.jpg
12.10,down,None
12.20,down,None
12.21,down,uav_image_12.209617853164673.jpg
12.30,down,None
12.37,down,uav_image_12.374332427978516.jpg
12.40,down,None
12.50,down,None
12.54,down,uav_image_12.54348611831665.jpg
12.60,down,None
12.70,down,None
12.71,down,uav_image_12.707641363143921.jpg
12.80,down,None
12.88,down,uav_image_12.877073287963867.jpg
12.90,down,None
13.00,down,None
13.04,down,uav_image_13.04094123840332.jpg
13.10,down,None
13.20,down,uav_image_13.199198722839355.jpg
13.20,down,None
13.30,down,None
13.37,down,uav_image_13.374324083328247.jpg
13.40,down,None
13.50,down,None
13.54,down,uav_image_13.537197589874268.jpg
13.60,down,None
13.70,down,uav_image_13.704801559448242.jpg
13.70,down,None
13.80,down,None
13.88,down,uav_image_13.877259254455566.jpg
13.90,down,None
14.00,down,None
14.04,down,uav_image_14.037587881088257.jpg
14.10,down,None
14.20,down,uav_image_14.201890707015991.jpg
14.20,down,None
14.30,down,None
14.37,down,uav_image_14.368345260620117.jpg
14.40,down,None
14.50,down,None
14.54,down,uav_image_14.540955781936646.jpg
14.60,down,None
14.70,stop,None
14.71,stop,uav_image_14.706384658813477.jpg
14.80,stop,None
14.87,stop,uav_image_14.86954402923584.jpg
14.90,stop,None
15.00,stop,None
15.03,stop,uav_image_15.034895181655884.jpg
15.10,stop,None
15.20,stop,uav_image_15.204257249832153.jpg
15.20,stop,None
15.30,stop,None
15.37,stop,uav_image_15.366417646408081.jpg
15.40,stop,None
15.50,stop,None
15.54,stop,uav_image_15.5394287109375.jpg
15.60,stop,None
15.70,stop,uav_image_15.7024085521698.jpg
15.70,stop,None
15.80,stop,None
15.87,stop,uav_image_15.8658447265625.jpg
15.90,stop,None
16.00,stop,None
16.03,stop,uav_image_16.034582138061523.jpg
16.10,stop,None
16.20,stop,None
